iso3,country_name,year,income_group,cptpp_member,cptpp_ratification_year,post_treatment,years_since_treatment,gdp_per_capita_usd,ln_gdp_per_capita,population,ln_population,merch_trade_pct_gdp,fdi_inflows_pct_gdp,health_exp_per_capita_usd,health_exp_pct_gdp,rd_expenditure_pct_gdp,researchers_per_million,scientific_journal_articles,high_tech_exports_usd,patent_apps_resident,patent_apps_nonresident,patent_apps_total,ln_patent_apps_total,ln_patent_resident,ln_patent_nonresident,patent_apps_per_million,patent_resident_per_million,nonresident_share,wipo_pharma_grants,ln_wipo_pharma_grants,wipo_biotech_grants,ln_wipo_biotech_grants,wipo_pharma_bio_grants,pharma_share_total,epo_granted_patents,ln_epo_grants,epo_patent_apps,ln_epo_apps
ARG,Argentina,2005,HIC,0,,0,,5067.65342293276,8.53063315373026,39216789.0,17.484615503886683,34.7393625713073,2.64935441452167,395.64596558,7.73392439,0.42075,816.8412,4852.62,,1054.0,4215.0,5269.0,8.569595870209286,6.960347729101308,8.346404870435956,134.35572198427565,26.87624425344972,0.7999620421332321,7.0,1.9459101490553132,0.0,0.0,7.0,0.0013285253368760675,,,,
ARG,Argentina,2006,HIC,0,,0,,5869.38028970204,8.677504334796174,39622115.0,17.49489797994014,34.7002711144739,2.38106854489628,456.06246948,7.70940399,0.45216,888.89168,5518.94,,1020.0,4597.0,5617.0,8.633552992532433,6.927557906278317,8.433159195806228,141.76426472943203,25.743199220940124,0.8184084030621328,8.0,2.0794415416798357,2.0,0.6931471805599453,10.0,0.001424247819120527,,,,
ARG,Argentina,2007,HIC,0,,0,,7185.25155147027,8.87978580854331,40016763.0,17.50480899929081,34.9475958389525,2.25129423568361,569.27264404,7.86196613,0.46007,971.29008,5534.33,1202089048.0,937.0,4806.0,5743.0,8.655737000864297,6.842683282238422,8.477620416296414,143.51485651150745,23.41518728039047,0.8368448546056069,4.0,1.3862943611198906,4.0,1.3862943611198906,8.0,0.0006965000870625109,,,,
ARG,Argentina,2008,HIC,0,,0,,8944.1102657357,9.098750523777706,40424148.0,17.51493788713855,35.258516452524,2.68990096507093,745.40356445,8.24087811,0.47055,1032.67483,6141.33,2014827039.0,801.0,4781.0,5582.0,8.627302414096267,6.68586094706836,8.472405008626103,138.08577981655915,19.81488886296379,0.8565030455034038,5.0,1.6094379124341003,5.0,1.6094379124341003,10.0,0.0008957362952346829,,,,
ARG,Argentina,2009,HIC,0,,0,,8150.23527028221,9.00580207333754,40854831.0,17.5255356342118,28.36776900922,1.20643922647566,787.78051758,9.56852913,0.58398,1031.64133,6632.61,1607442803.0,640.0,4336.0,4976.0,8.512381634419015,6.461468176353717,8.374707543119483,121.797101547183,15.665222063946366,0.8713826366559485,7.0,1.9459101490553132,6.0,1.791759469228055,13.0,0.0014067524115755627,,,,
ARG,Argentina,2010,HIC,0,,0,,10260.1313108254,9.236020916968926,41288694.0,17.536099267427428,29.5023394337096,2.67516171886535,979.7689209,9.4852438,0.56104,1119.05035,7006.47,1686224603.0,552.0,4165.0,4717.0,8.458928283284262,6.313548046277095,8.334471554600944,114.24434979706552,13.36927731354254,0.8829764680941277,8.0,2.0794415416798357,7.0,1.9459101490553132,15.0,0.0016959932160271359,,,,
ARG,Argentina,2011,HIC,0,,0,,12704.2831819684,9.449694474010553,41730660.0,17.546746668402406,29.8722198953467,2.04465997872008,1208.23120117,9.51042366,0.56597,1175.37229,7356.17,1926430908.0,688.0,4133.0,4821.0,8.480736654405622,6.533788837933344,8.326758814511733,115.52656967323306,16.486679098772942,0.8572910184609003,12.0,2.4849066497880004,4.0,1.3862943611198906,16.0,0.002489110143123833,,,,
ARG,Argentina,2012,HIC,0,,0,,12949.717486654,9.468829251187325,42161721.0,17.55702328204735,27.0990432264413,2.80667189982932,1363.21618652,9.8851881,0.63491,1197.6554,7579.45,1654528881.0,735.0,4078.0,4813.0,8.47907586930311,6.5998704992128365,8.3133619511344,114.15568164307145,17.4328747159064,0.8472885933928942,10.0,2.302585092994046,9.0,2.1972245773362196,19.0,0.002077706212341575,,,,
ARG,Argentina,2013,HIC,0,,0,,12963.675773326,9.469906554177475,42582455.0,17.566952871944164,27.2460417167365,1.77920553648531,1428.91125488,9.92091465,0.61849,1193.37333,7700.03,1791037027.0,643.0,4129.0,4772.0,8.470520783217808,6.466144724237619,8.32579052588609,112.0649337855227,15.100115763640211,0.8652556580050293,17.0,2.833213344056216,10.0,2.302585092994046,27.0,0.003562447611064543,,,,
ARG,Argentina,2014,HIC,0,,0,,12233.1444119186,9.411904302087889,43024071.0,17.577270307731148,25.4864119079835,0.962406650325519,1291.32458496,9.79773045,0.59396,1202.47388,8058.27,1509996216.0,509.0,4173.0,4682.0,8.451480648050856,6.2324480165505225,8.336390480591552,108.82280293745332,11.830586649970895,0.8912857753096967,8.0,2.0794415416798357,4.0,1.3862943611198906,12.0,0.0017086715079026058,,,,
ARG,Argentina,2015,HIC,0,,0,,13679.6264980954,9.52366288803301,43477012.0,17.58774289660472,19.6703052646326,1.97713461784426,1523.90979004,10.27364159,0.62262,1225.50983,8098.51,1475181467.0,546.0,3579.0,4125.0,8.324821298768782,6.302618975744905,8.182838710766026,94.8777252677806,12.558360726353504,0.8676363636363637,8.0,2.0794415416798357,11.0,2.3978952727983707,19.0,0.0019393939393939393,,,,
